rfid,Temperature,Humidity,Speed,Treatment code,transition
64 B4 92 05 08 00 12 E0,67.5,75,3.8,1,0.431
64 B4 92 05 08 00 12 E0,68.2,99,1.6,1,83581.8
64 B4 92 05 08 00 12 E0,68.2,99,1.6,1,0.414
64 B4 92 05 08 00 12 E0,68.2,99,1.6,1,6.836
64 B4 92 05 08 00 12 E0,68.2,99,1.6,1,0.433
64 B4 92 05 08 00 12 E0,68.2,99,1.6,1,0.45
64 B4 92 05 08 00 12 E0,68.2,99,1.6,1,0.431
64 B4 92 05 08 00 12 E0,68.2,97,1.6,1,4767.19
64 B4 92 05 08 00 12 E0,68.2,97,1.6,1,0.427
64 B4 92 05 08 00 12 E0,68.2,97,1.6,1,0.433
64 B4 92 05 08 00 12 E0,68.2,97,1.6,1,0.444
64 B4 92 05 08 00 12 E0,68.2,97,1.6,1,53.198
64 B4 92 05 08 00 12 E0,68.2,97,1.6,1,0.457
64 B4 92 05 08 00 12 E0,68.2,97,1.6,1,0.425
64 B4 92 05 08 00 12 E0,68.2,97,1.6,1,0.431
64 B4 92 05 08 00 12 E0,68.2,97,1.6,1,0.439
64 B4 92 05 08 00 12 E0,68.2,97,1.6,1,14.915
64 B4 92 05 08 00 12 E0,68.2,97,1.6,1,0.42
64 B4 92 05 08 00 12 E0,68.2,97,1.6,1,0.45
D8 B5 92 05 08 00 12 E0,66.2,72,0.7,0,0
D8 B5 92 05 08 00 12 E0,66.2,72,0.7,0,0.465
D8 B5 92 05 08 00 12 E0,66.2,72,0.7,0,0.434
D8 B5 92 05 08 00 12 E0,66.2,72,0.7,0,0.469
D8 B5 92 05 08 00 12 E0,66.2,72,0.7,0,44.463
D8 B5 92 05 08 00 12 E0,66.2,72,0.7,0,0.46
D8 B5 92 05 08 00 12 E0,66.2,72,0.7,0,0.523
D8 B5 92 05 08 00 12 E0,66.2,72,0.7,0,0.436
D8 B5 92 05 08 00 12 E0,66.2,72,0.7,0,0.453
D8 B5 92 05 08 00 12 E0,66.2,72,0.7,0,0.463
D8 B5 92 05 08 00 12 E0,66.2,72,0.7,0,19.324
D8 B5 92 05 08 00 12 E0,66.2,72,0.7,0,0.484
7C B4 92 05 08 00 12 E0,66.2,72,0.7,1,0
7C B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.473
7C B4 92 05 08 00 12 E0,66.2,72,0.7,1,6.547
75 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0
75 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.474
75 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.464
75 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.463
75 B4 92 05 08 00 12 E0,66.2,72,0.7,0,27.333
75 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.45
75 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.433
75 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.472
75 B4 92 05 08 00 12 E0,66.2,72,0.7,0,18.006
75 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.453
75 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.437
75 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.427
75 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.465
75 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.438
75 B4 92 05 08 00 12 E0,66.2,72,0.7,0,6.556
5A B4 92 05 08 00 12 E0,66.2,72,0.7,1,0
5A B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.467
5A B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.43
5A B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.433
5A B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.467
5A B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.422
5A B4 92 05 08 00 12 E0,66.2,72,0.7,1,98.253
5A B4 92 05 08 00 12 E0,66.2,72,0.7,1,16.891
5A B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.457
70 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0
70 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.426
70 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.456
70 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.433
70 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.425
70 B4 92 05 08 00 12 E0,66.2,72,0.7,0,6.32
70 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.433
70 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.454
70 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.428
70 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.413
70 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.431
70 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.433
70 B4 92 05 08 00 12 E0,66.2,72,0.7,0,0.431
70 B4 92 05 08 00 12 E0,74.8,79,3.8,0,0
70 B4 92 05 08 00 12 E0,74.8,79,3.8,0,0.465
70 B4 92 05 08 00 12 E0,68.9,73,3.8,0,0
70 B4 92 05 08 00 12 E0,68.9,73,3.8,0,3.005
70 B4 92 05 08 00 12 E0,68.9,73,3.8,0,0.445
70 B4 92 05 08 00 12 E0,68.9,73,3.8,0,0.408
70 B4 92 05 08 00 12 E0,68.9,73,3.8,0,7.958
70 B4 92 05 08 00 12 E0,68.9,73,3.8,0,0.404
70 B4 92 05 08 00 12 E0,68.9,73,3.8,0,0.431
70 B4 92 05 08 00 12 E0,68.9,73,3.8,0,2259.81
